-0.00028802,1.5006
-0.00028802,1.4881
-0.00028802,1.4385
-0.00060189,1.3339
-0.0020086,1.1963
-0.0046417,1.0576
-0.0074551,0.92918
-0.0097743,0.80836
-0.0091466,0.6809
-0.0043278,0.54666
0.0020312,0.42858
0.0065652,0.33726
0.0095122,0.25725
0.010919,0.1882
0.011233,0.13492
0.011233,0.099452
0.011233,0.081841
0.011233,0.071529
0.011233,0.05875
0.011233,0.047524
0.015627,0.043562
0.036262,0.046729
0.07766,0.054787
0.12886,0.063869
0.19308,0.075337
0.268,0.096874
0.34465,0.13294
0.40676,0.17709
0.45058,0.22369
0.48465,0.27217
0.50969,0.31455
0.525,0.34818
0.53715,0.38746
0.5477,0.44129
0.54939,0.50179
0.53601,0.55724
0.50531,0.60957
0.45725,0.66717
0.4003,0.72846
0.34221,0.78411
0.28463,0.82827
0.23407,0.85528
0.19983,0.8652
0.18361,0.86679
0.18142,0.86679
0.19644,0.86758
0.23532,0.87115
0.28468,0.87782
0.32638,0.88654
0.3665,0.90154
0.40744,0.9234
0.44401,0.94668
0.47046,0.96778
0.48465,0.98434
0.49044,0.99742
0.49401,1.0148
0.49917,1.0414
0.50866,1.0819
0.51984,1.1363
0.52449,1.197
0.51088,1.26
0.46903,1.3259
0.40985,1.3945
0.35673,1.456
0.31309,1.5024
0.26951,1.5349
0.22296,1.5586
0.17628,1.5744
0.13251,1.5793
0.090785,1.5726
0.05284,1.5573
0.026072,1.5439
0.012802,1.5365
0.0075068,1.531
0.0057862,1.5263
NaN,NaN
